Visit ID,BDM Code,BDM Name,Outlet Code,Outlet Name,Visit Date,Check In,Duration (mins),Purpose,Remarks
V00614,BDM005,Dhanush P,OA0626,Galaxy Cellpoint,06/05/2026,11:44,20,Collection,
V00615,BDM010,Praveen K,OA0128,Prime Infotech,30/05/2026,13:11,20,Collection,collection pending
V00616,BDM010,Praveen K,OA0219,Vinayaga Communications,2026-05-30,11:00,15,routine,
V00617,BDM006,Jegan R,OA0415,Jeyam Electronics,27/07/2026,14:38,10,Order,shop closed
V00618,BDM011,Ilango M,OA0587,Big C Communications,2026-06-10,12:09,30,routine,shop closed
V00619,BDM008,Sathya N,OA0514,Jeyam Digital,08/06/2026,15:12,,Order,stock displayed
V00620,BDM011,Ilango M,OA0598,Devi Gadgets,2026-06-08,12:23,30,Stock check,display not as per norms
V00621,BDM002,Prakash M,OA0728,Thangam Telecom,22/07/2026,11:16,8,followup,shop closed
V00622,BDM002,Prakash M,OA0474,Mobile World Electronics,24/06/2026,12:17,25,,shop closed
V00623,BDM001,Sundar R,OA0689,Ram Communications,13/07/2026,10:03,12,Order,shop closed
V00624,BDM002,Prakash M,OA0433,Vinayaga Cellpoint,08/05/2026,10:16,5,Routine visit,shop closed
V00625,BDM002,Prakash M,OA0431,Amman Communications,2026-07-09,10:33,8,routine,will order next week
V00626,BDM003,Vetri S,OA0645,Karpagam Telecom,06/06/2026,11:38,45,Order,shop closed
V00627,BDM003,Vetri S,OA0502,Lakshmi Gadgets,19/05/2026,15:03,25,Follow up,shop closed
V00628,BDM007,Mohan Raj,OA0180,Vinayaga Telecom,16/05/2026,12:58,5,Complaint,owner not available
V00629,BDM004,Ashok Kumar,OA0486,Jeyam Infotech,20/07/2026,10:14,15,Routine visit,shop closed
V00630,BDM010,Praveen K,OA0134,Jeyam Enterprises,18/05/2026,12:35,5,Complaint,collection pending
V00631,BDM011,Ilango M,OA0560,Sri Krishna Communications,04/06/2026,12:42,,followup,stock displayed
V00632,BDM011,Ilango M,OA0024,Amman Electronics,2026-05-20,11:47,12,Complaint,asked for better margin
V00633,BDM010,Praveen K,OA0798,Anandha Digital ,2026-05-07,10:13,12,routine,owner not available
V00634,BDM001,Sundar R,OA0707,iStore Enterprises,20/07/2026,11:00,20,Routine visit,discussed scheme
V00635,BDM005,Dhanush P,OA0275,Poorvika Electronics,08/05/2026,10:35,12,Stock check,
V00636,BDM009,Gowtham S,OA0183,Anandha Communications,25/07/2026,12:52,,routine,display not as per norms
V00637,BDM010,Praveen K,OA0520,Sangeetha Agencies,08/06/2026,11:29,,Order,collection pending
V00638,BDM007,Mohan Raj,OA0127,Sangeetha Agencies,2026-07-23,11:42,8,,owner not available
V00639,BDM002,Prakash M,OA0667,Bharath Communications,09/07/2026,14:02,15,Complaint,shop closed
V00640,BDM011,Ilango M,OA0327,Prime Digital,2026-07-22,11:45,5,New onboarding,display not as per norms
V00641,BDM011,Ilango M,OA0495,iStore Gadgets,24/07/2026,11:01,30,Collection,collection pending
V00642,BDM004,Ashok Kumar,OA0038,Royal Communications,24/05/2026,13:22,8,Order,shop closed
V00643,BDM011,Ilango M,OA0397,Vasanth Traders,01/05/2026,14:00,25,Routine visit,
V00644,BDM004,Ashok Kumar,OA0780,Devi Infotech,19/05/2026,13:10,8,Collection,discussed scheme
V00645,BDM003,Vetri S,OA0266,Anandha Cellpoint,2026-07-21,11:15,10,Complaint,collection pending
V00646,BDM001,Sundar R,OA0098,Vasanth Enterprises,10/07/2026,10:32,25,New onboarding,
V00647,BDM011,Ilango M,OA0700,Lakshmi Electronics,2026-07-30,11:02,25,New onboarding,
V00648,BDM007,Mohan Raj,OA0683,Lakshmi Telecom,2026-05-18,11:09,15,followup,
V00649,BDM010,Praveen K,OA0491,Royal Communications,14/07/2026,10:32,45,Collection,
V00650,BDM010,Praveen K,OA0325,Meenakshi Telecom,2026-07-04,14:58,15,Follow up,
V00651,BDM004,Ashok Kumar,OA0745,Thangam Telecom,06/06/2026,14:51,25,Routine visit,stock displayed
V00652,BDM004,Ashok Kumar,OA0357,Universal Mobile,2026-05-13,11:22,30,Order,collection pending
V00653,BDM001,Sundar R,OA0539,Ram Infotech,2026-06-23,10:20,30,Complaint,will order next week
V00654,BDM010,Praveen K,OA0725,Lakshmi Communications,22/05/2026,10:35,15,Stock check,collection pending
V00655,BDM008,Sathya N,OA0385,Ganesh Mobile,01/06/2026,10:53,8,Collection,
V00656,BDM012,Yuvaraj S,OA0417,Muthu Enterprises,25/06/2026,14:03,12,Stock check,will order next week
V00657,BDM009,Gowtham S,OA0714,Karpagam Digital,23/07/2026,12:00,10,,owner not available
V00658,BDM012,Yuvaraj S,OA0434,Galaxy Agencies,07/07/2026,12:46,25,New onboarding,stock displayed
V00659,BDM005,Dhanush P,OA0753,Big C Traders,29/06/2026,12:36,10,Stock check,
V00660,BDM011,Ilango M,OA0653,City Communications,01/05/2026,10:27,30,New onboarding,
V00661,BDM002,Prakash M,OA0677,Chennai Silks Electronics,23/07/2026,10:42,25,,discussed scheme
V00662,BDM001,Sundar R,OA0326,Selvam Communications,25/06/2026,10:54,25,Stock check,owner not available
V00663,BDM006,Jegan R,OA0658,Thangam Traders,09/06/2026,10:40,20,Complaint,will order next week
V00664,BDM001,Sundar R,OA0055,Saravana Digital,14/07/2026,16:16,30,Follow up,
V00665,BDM006,Jegan R,OA0440,Vasanth Telecom,15/07/2026,14:02,30,followup,discussed scheme
V00666,BDM002,Prakash M,OA0724,New Star Communications,2026-06-10,14:00,12,Collection,
V00667,BDM010,Praveen K,OA0404,Saravana Gadgets,08/05/2026,15:11,20,Routine visit,
V00668,BDM001,Sundar R,OA0224,Selvam Electronics,17/07/2026,15:51,15,Follow up,
V00669,BDM005,Dhanush P,OA0805,Mobile World Infotech ,04/07/2026,10:40,15,Collection,will order next week
V00670,BDM002,Prakash M,OA0428,Ganesh Communications,2026-06-21,14:14,30,New onboarding,will order next week
V00671,BDM009,Gowtham S,OA0209,Anandha Traders,14/07/2026,10:49,5,Order,discussed scheme
V00672,BDM009,Gowtham S,OA0404,Saravana Gadgets,22/07/2026,10:00,20,Routine visit,
V00673,BDM008,Sathya N,OA0489,Anandha Telecom,2026-06-11,12:59,25,Order,asked for better margin
V00674,BDM002,Prakash M,OA0812,Meenakshi Traders - Branch,2026-07-12,12:00,10,Complaint,will order next week
V00675,BDM008,Sathya N,OA0514,Jeyam Digital,13/07/2026,13:23,25,,will order next week
V00676,BDM005,Dhanush P,OA0259,Karpagam Mobiles,01/07/2026,14:06,30,Collection,discussed scheme
V00677,BDM010,Praveen K,OA0179,Ram Agencies,05/05/2026,16:22,5,Order,will order next week
V00678,BDM008,Sathya N,OA0519,Sakthi Cellpoint,25/05/2026,15:29,45,Complaint,will order next week
V00679,BDM003,Vetri S,OA0430,Amman Digital,06/05/2026,12:24,15,Follow up,
V00680,BDM002,Prakash M,OA0705,Bharath Agencies,05/06/2026,16:34,45,New onboarding,
V00681,BDM005,Dhanush P,OA0573,Muthu Communications,13/06/2026,17:04,15,followup,
V00682,BDM004,Ashok Kumar,OA0363,Saravana Mobiles,09/07/2026,12:10,30,Follow up,
V00683,BDM001,Sundar R,OA0154,Karpagam Enterprises,2026-07-04,11:02,15,Collection,display not as per norms
V00684,BDM011,Ilango M,OA0191,Devi Mobile,10/06/2026,14:59,30,Order,
V00685,BDM006,Jegan R,OA0044,Muthu Mobiles,2026-06-01,12:36,45,Routine visit,
V00686,BDM010,Praveen K,OA0496,Saravana Communications,06/07/2026,10:36,8,New onboarding,owner not available
V00687,BDM009,Gowtham S,OA0537,Selvam Digital,07/05/2026,17:08,30,Order,will order next week
V00688,BDM008,Sathya N,OA0740,New Star Agencies,02/07/2026,10:33,20,Follow up,stock displayed
V00689,BDM009,Gowtham S,OA0418,Prime Digital,27/06/2026,11:30,,New onboarding,discussed scheme
V00690,BDM001,Sundar R,OA0112,Karpagam Infotech,28/05/2026,11:39,30,Complaint,discussed scheme
V00691,BDM004,Ashok Kumar,OA0486,Jeyam Infotech,21/05/2026,13:55,8,New onboarding,
V00692,BDM006,Jegan R,OA0440,Vasanth Telecom,06/06/2026,12:03,25,Collection,stock displayed
V00693,BDM004,Ashok Kumar,OA0475,Ganesh Infotech,01/05/2026,10:26,20,Routine visit,discussed scheme
V00694,BDM011,Ilango M,OA0495,iStore Gadgets,28/05/2026,13:02,10,Order,collection pending
V00695,BDM004,Ashok Kumar,OA0168,Jeyam Traders,25/05/2026,10:27,5,New onboarding,display not as per norms
V00696,BDM003,Vetri S,OA0064,Sakthi Cellpoint,2026-06-05,13:12,20,Routine visit,owner not available
V00697,BDM009,Gowtham S,OA0118,Selvam Mobile,27/05/2026,14:17,25,Stock check,will order next week
V00698,BDM004,Ashok Kumar,OA0066,Universal Traders,2026-05-07,10:02,,,
V00699,BDM011,Ilango M,OA0409,Amman Mobile,13/07/2026,13:19,5,Follow up,asked for better margin
V00700,BDM011,Ilango M,OA0327,Prime Digital,2026-06-20,11:48,10,Order,
V00701,BDM010,Praveen K,OA0348,Poorvika Mobile,2026-06-15,13:39,,Routine visit,will order next week
V00702,BDM012,Yuvaraj S,OA0062,Jeyam Telecom,16/05/2026,15:00,45,Collection,
V00703,BDM009,Gowtham S,OA0548,Lakshmi Gadgets,08/07/2026,16:00,20,Routine visit,stock displayed
V00704,BDM009,Gowtham S,OA0086,New Star Gadgets,18/07/2026,11:35,12,,
V00705,BDM002,Prakash M,OA0592,iStore Electronics,20/05/2026,14:13,25,Routine visit,stock displayed
V00706,BDM001,Sundar R,OA0163,Sri Krishna Communications,2026-05-20,15:25,,Stock check,owner not available
V00707,BDM006,Jegan R,OA0439,Sakthi Enterprises,20/05/2026,14:00,,Routine visit,display not as per norms
V00708,BDM003,Vetri S,OA0750,Vasanth Cellpoint,2026-06-18,14:27,30,Order,asked for better margin
V00709,BDM009,Gowtham S,OA0366,Jeyam Agencies,02/05/2026,16:12,20,,asked for better margin
V00710,BDM001,Sundar R,OA0234,Big C Infotech,30/05/2026,10:05,30,followup,
V00711,BDM003,Vetri S,OA0188,Muthu Cellpoint,27/05/2026,12:08,,Stock check,
V00712,BDM004,Ashok Kumar,OA0264,Thangam Enterprises,03/07/2026,12:50,5,Stock check,
V00713,BDM009,Gowtham S,OA0086,New Star Gadgets,16/07/2026,12:58,30,Collection,asked for better margin
V00714,BDM008,Sathya N,OA0424,Sri Krishna Cellpoint,2026-07-08,10:40,25,routine,
V00715,BDM005,Dhanush P,OA0182,Devi Telecom,20/06/2026,13:49,5,,
V00716,BDM009,Gowtham S,OA0782,City Mobiles,2026-05-22,13:58,,Complaint,stock displayed
V00717,BDM002,Prakash M,OA0428,Ganesh Communications,05/06/2026,10:17,30,Order,display not as per norms
V00718,BDM012,Yuvaraj S,OA0442,Big C Telecom,13/06/2026,13:03,,Order,
V00719,BDM001,Sundar R,OA0003,Anandha Enterprises,19/06/2026,10:56,25,,
V00720,BDM010,Praveen K,OA0538,Royal Infotech,15/06/2026,12:34,25,New onboarding,
V00721,BDM010,Praveen K,OA0538,Royal Infotech,21/07/2026,11:09,30,New onboarding,collection pending
V00722,BDM009,Gowtham S,OA0388,Galaxy Telecom,10/07/2026,16:00,20,routine,display not as per norms
V00723,BDM006,Jegan R,OA0047,Sakthi Infotech,2026-07-25,13:57,15,Collection,
V00724,BDM005,Dhanush P,OA0554,Modern Digital,13/06/2026,10:10,20,Follow up,shop closed
V00725,BDM006,Jegan R,OA0586,Lakshmi Infotech,2026-05-13,10:35,10,Collection,stock displayed
V00726,BDM006,Jegan R,OA0080,Chennai Silks Enterprises,2026-05-20,13:25,20,followup,
V00727,BDM003,Vetri S,OA0341,Prime Electronics,2026-06-30,11:46,5,routine,asked for better margin
V00728,BDM011,Ilango M,OA0587,Big C Communications,2026-06-05,12:08,30,,
V00729,BDM010,Praveen K,OA0633,Chennai Silks Cellpoint,2026-06-02,12:07,20,,owner not available
V00730,BDM011,Ilango M,OA0565,Ram Traders,20/06/2026,14:21,12,routine,stock displayed
V00731,BDM005,Dhanush P,OA0193,Ganesh Infotech,2026-05-25,14:55,12,Order,will order next week
V00732,BDM004,Ashok Kumar,OA0732,Selvam Agencies,2026-05-13,13:06,15,Order,owner not available
V00733,BDM004,Ashok Kumar,OA0363,Saravana Mobiles,2026-06-30,11:03,12,Follow up,owner not available
V00734,BDM008,Sathya N,OA0196,Universal Gadgets,09/05/2026,10:42,,Collection,stock displayed
V00735,BDM006,Jegan R,OA0089,iStore Enterprises,28/06/2026,12:16,15,followup,display not as per norms
V00736,BDM011,Ilango M,OA0661,Devi Cellpoint,11/06/2026,12:28,15,Follow up,display not as per norms
V00737,BDM008,Sathya N,OA0230,Ram Digital,2026-07-20,10:01,30,routine,
V00738,BDM005,Dhanush P,OA0573,Muthu Communications,19/05/2026,11:42,25,New onboarding,
V00739,BDM010,Praveen K,OA0404,Saravana Gadgets,2026-06-25,11:32,8,followup,will order next week
V00740,BDM010,Praveen K,OA0520,Sangeetha Agencies,26/05/2026,14:16,,Complaint,will order next week
V00741,BDM001,Sundar R,OA0481,Muthu Traders,06/07/2026,14:31,12,Collection,shop closed
V00742,BDM011,Ilango M,OA0666,Anandha Gadgets,04/06/2026,11:40,30,followup,will order next week
V00743,BDM012,Yuvaraj S,OA0493,Bharath Traders,22/07/2026,13:09,30,Stock check,collection pending
V00744,BDM012,Yuvaraj S,OA0644,Karpagam Enterprises,07/05/2026,11:10,10,followup,
V00745,BDM008,Sathya N,OA0567,City Gadgets,04/06/2026,15:53,10,Routine visit,shop closed
V00746,BDM001,Sundar R,OA0441,Bharath Enterprises,25/07/2026,12:00,30,Routine visit,owner not available
V00747,BDM001,Sundar R,OA0608,Devi Gadgets,27/07/2026,12:29,,New onboarding,discussed scheme
V00748,BDM005,Dhanush P,OA0547,Vinayaga Gadgets,18/05/2026,10:14,20,Stock check,
V00749,BDM009,Gowtham S,OA0574,Amman Digital,26/05/2026,15:09,12,Stock check,
V00750,BDM006,Jegan R,OA0469,Sri Balaji Infotech,08/05/2026,11:54,,Routine visit,collection pending
V00751,BDM008,Sathya N,OA0590,Selvam Electronics,2026-07-17,12:26,,Complaint,stock displayed
V00752,BDM008,Sathya N,OA0169,Meenakshi Traders,2026-06-07,14:00,30,Routine visit,owner not available
V00753,BDM008,Sathya N,OA0567,City Gadgets,16/05/2026,13:23,20,,
V00754,BDM004,Ashok Kumar,OA0716,Anandha Communications,17/05/2026,11:05,20,routine,
V00755,BDM010,Praveen K,OA0324,Sri Balaji Traders,11/05/2026,10:09,30,routine,stock displayed
V00756,BDM009,Gowtham S,OA0548,Lakshmi Gadgets,25/06/2026,13:06,25,Routine visit,display not as per norms
V00757,BDM006,Jegan R,OA0536,Bharath Traders,2026-06-12,10:24,5,followup,shop closed
V00758,BDM005,Dhanush P,OA0533,Universal Mobile,06/07/2026,13:02,15,,asked for better margin
V00759,BDM005,Dhanush P,OA0744,Jeyam Communications,2026-05-13,10:23,10,routine,
V00760,BDM003,Vetri S,OA0176,Sri Krishna Cellpoint,23/05/2026,12:58,5,Routine visit,collection pending
V00761,BDM004,Ashok Kumar,OA0036,Jeyam Digital,2026-06-10,12:09,15,,collection pending
V00762,BDM004,Ashok Kumar,OA0478,Big C Mobile,22/07/2026,12:00,,New onboarding,
V00763,BDM002,Prakash M,OA0167,Meenakshi Telecom,05/06/2026,14:14,15,Collection,
V00764,BDM011,Ilango M,OA0274,Muthu Electronics,16/07/2026,11:54,,Complaint,
V00765,BDM001,Sundar R,OA0141,Muthu Electronics,05/05/2026,13:50,,followup,display not as per norms
V00766,BDM011,Ilango M,OA0040,Modern Mobile,20/06/2026,12:54,30,New onboarding,
V00767,BDM004,Ashok Kumar,OA0564,Sakthi Mobile,01/06/2026,12:29,5,Complaint,will order next week
V00768,BDM008,Sathya N,OA0016,Universal Infotech,25/05/2026,10:35,,,
V00769,BDM006,Jegan R,OA0448,,21/07/2026,13:03,20,Stock check,discussed scheme
V00770,BDM010,Praveen K,OA0571,Amman Telecom,2026-07-29,13:32,12,Collection,
V00771,BDM011,Ilango M,OA0730,Saravana Communications,23/06/2026,12:00,25,Routine visit,
V00772,BDM008,Sathya N,OA0749,Thangam Digital,05/05/2026,13:24,8,New onboarding,
V00773,BDM006,Jegan R,OA0247,iStore Infotech,19/06/2026,10:05,20,Routine visit,owner not available
V00774,BDM008,Sathya N,OA0727,Royal Electronics,17/07/2026,14:53,45,Routine visit,asked for better margin
V00775,BDM001,Sundar R,OA0298,Sri Krishna Electronics,25/07/2026,14:13,,Collection,discussed scheme
V00776,BDM011,Ilango M,OA0022,Chennai Silks Mobiles,11/07/2026,17:00,30,Routine visit,
V00777,BDM011,Ilango M,OA0593,New Star Digital,2026-07-07,10:33,45,New onboarding,discussed scheme
V00778,BDM009,Gowtham S,OA0276,,2026-06-23,17:00,20,Follow up,will order next week
V00779,BDM007,Mohan Raj,OA0048,Thangam Communications,01/06/2026,12:07,15,Complaint,will order next week
V00780,BDM007,Mohan Raj,OA0426,Modern Digital,2026-06-07,03:08,30,Stock check,stock displayed
V00781,BDM012,Yuvaraj S,OA0434,Galaxy Agencies,26/05/2026,10:07,8,,
V00782,BDM012,Yuvaraj S,OA0302,Saravana Telecom,06/07/2026,11:16,12,Follow up,stock displayed
V00783,BDM009,Gowtham S,OA0287,Royal Mobile,2026-07-03,13:41,8,Order,discussed scheme
V00784,BDM003,Vetri S,OA0198,Devi Mobile,21/07/2026,12:20,30,Order,stock displayed
V00785,BDM007,Mohan Raj,OA0625,Karpagam Agencies,21/05/2026,10:51,8,Complaint,discussed scheme
V00786,BDM009,Gowtham S,OA0013,,10/07/2026,14:09,,New onboarding,collection pending
V00787,BDM011,Ilango M,OA0024,Amman Electronics,03/07/2026,10:33,8,routine,
V00788,BDM001,Sundar R,OA0441,Bharath Enterprises,13/06/2026,15:00,25,Routine visit,
V00789,BDM011,Ilango M,OA0322,Saravana Enterprises,08/07/2026,12:20,45,Routine visit,stock displayed
V00790,BDM006,Jegan R,OA0518,Thangam Mobile,2026-06-04,14:26,,followup,collection pending
V00791,BDM002,Prakash M,OA0528,Mobile World Infotech,2026-07-11,15:15,20,Routine visit,shop closed
V00792,BDM007,Mohan Raj,OA0441,Bharath Enterprises,29/05/2026,12:20,10,Collection,asked for better margin
V00793,BDM001,Sundar R,OA0122,Big C Digital,22/05/2026,12:42,20,followup,
V00794,BDM006,Jegan R,OA0364,Galaxy Electronics,2026-05-08,14:17,10,Complaint,
V00795,BDM004,Ashok Kumar,OA0478,Big C Mobile,25/05/2026,12:41,,Routine visit,will order next week
V00796,BDM009,Gowtham S,OA0595,Sangeetha Cellpoint,2026-05-01,12:18,12,New onboarding,display not as per norms
V00797,BDM006,Jegan R,OA0070,Big C Digital,10/07/2026,14:43,,Routine visit,discussed scheme
V00798,BDM007,Mohan Raj,OA0262,Muthu Enterprises,18/07/2026,15:56,45,Collection,display not as per norms
V00799,BDM002,Prakash M,OA0151,Chennai Silks Communications,2026-05-28,11:16,15,Order,collection pending
V00800,BDM003,Vetri S,OA0568,Vinayaga Mobiles,03/07/2026,13:07,30,Collection,owner not available
V00801,BDM002,Prakash M,OA0378,Universal Telecom,05/05/2026,11:33,20,,asked for better margin
V00802,BDM005,Dhanush P,OA0349,iStore Enterprises,29/07/2026,14:04,30,Complaint,asked for better margin
V00803,BDM007,Mohan Raj,OA0817,ISTORE TELECOM,2026-05-02,11:22,45,Order,stock displayed
V00804,BDM012,Yuvaraj S,OA0368,Anandha Telecom,08/05/2026,12:59,10,routine,
V00805,BDM007,Mohan Raj,OA0261,City Mobile,2026-06-22,10:02,8,Collection,will order next week
V00806,BDM010,Praveen K,OA0713,Ganesh Traders,16/06/2026,15:51,12,Stock check,shop closed
V00807,BDM009,Gowtham S,OA0257,Vinayaga Mobiles,2026-05-18,15:52,25,Collection,asked for better margin
V00808,BDM003,Vetri S,OA0515,New Star Infotech,03/06/2026,13:48,20,Stock check,
V00809,BDM010,Praveen K,OA0126,iStore Electronics,04/06/2026,10:18,5,Order,discussed scheme
V00810,BDM010,Praveen K,OA0310,Devi Digital,31/07/2026,16:09,30,,shop closed
V00811,BDM003,Vetri S,OA0557,Modern Mobiles,13/07/2026,17:12,15,routine,
V00812,BDM011,Ilango M,OA0218,Meenakshi Communications,30/05/2026,10:52,8,Order,shop closed
V00813,BDM010,Praveen K,OA0518,,16/07/2026,17:00,20,Routine visit,display not as per norms
V00814,BDM003,Vetri S,OA0676,Prime Cellpoint,25/06/2026,10:40,15,,
V00815,BDM011,Ilango M,OA0172,iStore Electronics,14/07/2026,10:01,45,Stock check,
V00816,BDM003,Vetri S,OA0515,New Star Infotech,2026-07-15,16:06,12,Complaint,
V00817,BDM001,Sundar R,OA0618,City Telecom,09/05/2026,13:59,30,Collection,
V00818,BDM006,Jegan R,OA0748,Ganesh Electronics,11/07/2026,15:17,20,,stock displayed
V00819,BDM006,Jegan R,OA0299,Vinayaga Gadgets,07/05/2026,10:28,10,Collection,
V00820,BDM006,Jegan R,OA0662,Vinayaga Mobile,30/06/2026,10:37,30,Collection,collection pending
V00821,BDM010,Praveen K,OA0435,Muthu Mobile,2026-05-15,15:04,20,Complaint,
V00822,BDM009,Gowtham S,OA0123,Muthu Mobiles,23/05/2026,11:09,8,Routine visit,
V00823,BDM007,Mohan Raj,OA0452,,28/05/2026,13:32,15,routine,asked for better margin
V00824,BDM001,Sundar R,OA0163,Sri Krishna Communications,20/07/2026,13:44,15,Collection,stock displayed
V00825,BDM001,Sundar R,OA0481,Muthu Traders,25/07/2026,14:45,30,Collection,
V00826,BDM008,Sathya N,OA0105,Chennai Silks Agencies,09/07/2026,17:13,15,Routine visit,asked for better margin
V00827,BDM002,Prakash M,OA0562,Big C Gadgets,29/05/2026,16:12,20,Follow up,stock displayed
V00828,BDM008,Sathya N,OA0488,Karpagam Gadgets,18/07/2026,12:27,10,followup,will order next week
V00829,BDM006,Jegan R,OA0392,Karpagam Communications,10/06/2026,10:46,,Follow up,owner not available
V00830,BDM006,Jegan R,OA0542,Kumaran Traders,2026-07-23,10:17,30,Order,discussed scheme
V00831,BDM011,Ilango M,OA0735,Royal Digital,21/07/2026,15:31,45,New onboarding,
V00832,BDM003,Vetri S,OA0471,Amman Cellpoint,29/05/2026,15:25,,routine,asked for better margin
V00833,BDM003,Vetri S,OA0779,Jeyam Agencies,06/06/2026,12:50,25,New onboarding,collection pending
V00834,BDM011,Ilango M,OA0620,Ganesh Infotech,30/07/2026,13:36,10,Stock check,
V00835,BDM002,Prakash M,OA0422,Anandha Agencies,29/05/2026,16:03,15,routine,
V00836,BDM011,Ilango M,OA0191,Devi Mobile,07/05/2026,11:05,5,Complaint,
V00837,BDM004,Ashok Kumar,OA0239,Selvam Traders,12/05/2026,13:11,,Follow up,stock displayed
V00838,BDM007,Mohan Raj,OA0630,Anandha Telecom,07/07/2026,15:00,20,Routine visit,
V00839,BDM003,Vetri S,OA0766,Vasanth Enterprises,20/05/2026,11:33,20,followup,owner not available
V00840,BDM005,Dhanush P,OA0494,New Star Telecom,23/06/2026,11:27,15,Order,
V00841,BDM004,Ashok Kumar,OA0116,Chennai Silks Communications,01/07/2026,14:29,25,Stock check,will order next week
V00842,BDM006,Jegan R,OA0089,iStore Enterprises,27/05/2026,13:50,5,routine,owner not available
V00843,BDM002,Prakash M,OA0664,New Star Traders,22/06/2026,11:38,10,Routine visit,
V00844,BDM004,Ashok Kumar,OA0075,Ram Electronics,2026-05-26,11:06,12,followup,asked for better margin
V00845,BDM010,Praveen K,OA0100,Ram Agencies,2026-05-23,12:11,,Follow up,stock displayed
V00846,BDM004,Ashok Kumar,OA0681,Lakshmi Agencies,2026-06-29,11:58,45,,will order next week
V00847,BDM010,Praveen K,OA0076,Royal Agencies,29/06/2026,11:06,8,Follow up,will order next week
V00848,BDM001,Sundar R,OA0441,Bharath Enterprises,20/06/2026,16:00,20,Routine visit,
V00849,BDM011,Ilango M,OA0597,Selvam Electronics,25/05/2026,11:35,10,followup,owner not available
V00850,BDM012,Yuvaraj S,OA0008,Sri Krishna Communications,17/06/2026,16:45,15,New onboarding,owner not available
V00851,BDM012,Yuvaraj S,OA0062,Jeyam Telecom,13/07/2026,16:05,,Order,shop closed
V00852,BDM004,Ashok Kumar,OA0019,Poorvika Gadgets,2026-06-21,13:46,,Collection,stock displayed
V00853,BDM002,Prakash M,OA0546,Ganesh Agencies,2026-05-04,11:45,25,Follow up,
V00854,BDM006,Jegan R,OA0047,Sakthi Infotech,2026-05-13,12:47,,Order,discussed scheme
V00855,BDM004,Ashok Kumar,OA0279,Sangeetha Communications,06/05/2026,10:12,45,Collection,
V00856,BDM009,Gowtham S,OA0132,Big C Agencies,2026-06-23,17:11,,routine,
V00857,BDM006,Jegan R,OA0058,New Star Telecom,25/07/2026,14:42,,followup,will order next week
V00858,BDM005,Dhanush P,OA0554,Modern Digital,2026-06-15,15:13,5,followup,
V00859,BDM002,Prakash M,OA0719,Sakthi Infotech,27/07/2026,12:48,15,routine,
V00860,BDM004,Ashok Kumar,OA0475,Ganesh Infotech,17/07/2026,14:50,20,followup,
V00861,BDM003,Vetri S,OA0766,Vasanth Enterprises,2026-07-08,13:12,5,routine,will order next week
V00862,BDM007,Mohan Raj,OA0563,Anandha Traders,02/07/2026,14:29,12,,owner not available
V00863,BDM008,Sathya N,OA0140,Thangam Mobile,2026-07-28,11:11,10,routine,
V00864,BDM011,Ilango M,OA0721,Devi Agencies,2026-07-11,13:29,45,,asked for better margin
V00865,BDM008,Sathya N,OA0489,Anandha Telecom,13/07/2026,13:48,25,Order,
V00866,BDM011,Ilango M,OA0495,iStore Gadgets,06/07/2026,16:00,20,Complaint,stock displayed
V00867,BDM004,Ashok Kumar,OA0511,Thangam Telecom,2026-07-03,11:41,5,followup,
V00868,BDM004,Ashok Kumar,OA0521,Meenakshi Mobile,2026-05-25,16:04,5,routine,will order next week
V00869,BDM001,Sundar R,OA0396,Saravana Agencies,13/07/2026,15:13,20,Follow up,owner not available
V00870,BDM011,Ilango M,OA0300,Sri Krishna Gadgets,11/06/2026,10:08,12,Order,stock displayed
V00871,BDM005,Dhanush P,OA0150,Universal Communications,2026-07-18,10:40,12,,display not as per norms
V00872,BDM002,Prakash M,OA0664,New Star Traders,29/06/2026,10:17,45,Complaint,
V00873,BDM007,Mohan Raj,OA0426,Modern Digital,08/07/2026,10:46,20,,shop closed
V00874,BDM003,Vetri S,OA0243,Jeyam Digital,05/07/2026,10:39,,followup,owner not available
V00875,BDM011,Ilango M,OA0303,Sangeetha Enterprises,28/05/2026,14:30,45,Collection,asked for better margin
V00876,BDM009,Gowtham S,OA0123,Muthu Mobiles,14/07/2026,10:07,45,Stock check,
V00877,BDM010,Praveen K,OA0767,Royal Communications,2026-06-05,10:31,,Complaint,
V00878,BDM009,Gowtham S,OA0063,Amman Mobile,03/06/2026,13:33,30,Stock check,collection pending
V00879,BDM002,Prakash M,OA0719,Sakthi Infotech,2026-05-07,11:56,,routine,
V00880,BDM008,Sathya N,OA0113,Sakthi Infotech,18/05/2026,12:53,20,followup,
V00881,BDM005,Dhanush P,OA0347,Thangam Mobiles,16/07/2026,15:30,25,,discussed scheme
V00882,BDM011,Ilango M,OA0346,Amman Communications,16/07/2026,10:00,25,Routine visit,will order next week
V00883,BDM003,Vetri S,OA0810,Amman Cellpoint,20/05/2026,13:58,20,Order,stock displayed
V00884,BDM001,Sundar R,OA0539,Ram Infotech,25/05/2026,15:56,10,Order,collection pending
V00885,BDM010,Praveen K,OA0725,Lakshmi Communications,26/06/2026,17:25,10,Order,discussed scheme
V00886,BDM001,Sundar R,OA0436,Vinayaga Agencies,14/07/2026,15:13,45,Collection,shop closed
